,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
amount,1.0,-0.0027624747580919703,-0.007860925286479283,0.2941374500176688,0.4593042672932784,0.07668842884028493
oldbalanceOrg,-0.0027624747580919703,0.9999999999999999,0.9988027631722919,0.06624250133592124,0.04202861875702347,0.010154421850333257
newbalanceOrig,-0.007860925286479283,0.9988027631722919,1.0,0.06781151806265107,0.04183749714539309,-0.00814816126757005
oldbalanceDest,0.2941374500176688,0.06624250133592124,0.06781151806265107,1.0,0.9765685054475104,-0.005885278228051894
newbalanceDest,0.4593042672932784,0.04202861875702347,0.04183749714539309,0.9765685054475104,0.9999999999999999,0.0005353470683178753
isFraud,0.07668842884028493,0.010154421850333257,-0.00814816126757005,-0.005885278228051894,0.0005353470683178753,1.0
